,n,train_pearson,val_pearson,train_spearman,val_spearman
full_knn_accuracy_15,1206,0.9802010474829946,0.9315392626472718,0.9837450620471118,0.9778540753644991
full_knn_accuracy_20,1206,0.9807008079835432,0.9323471095791546,0.9844624131289301,0.9780786939204473
full_knn_accuracy_25,1206,0.9811241695546983,0.9330093789268137,0.9851762137481822,0.9782869267790656
full_knn_accuracy_30,1206,0.9814853442332035,0.9336272809992917,0.9855991131371552,0.9780822898383663
full_knn_accuracy_35,1206,0.9817811274300265,0.934104879313592,0.9856860305776927,0.9780524239346994
full_knn_accuracy_40,1206,0.9821366570594489,0.934821352761137,0.986000139002486,0.9780648411191971
full_knn_accuracy_45,1206,0.982212551853652,0.9349442796086385,0.9862232704744629,0.9782266887809562
full_knn_accuracy_60,1206,0.9827471715992836,0.9358386932470079,0.9867147559930817,0.9783848974174538
full_knn_accuracy_80,1206,0.9831208588242214,0.9364186505184374,0.9871480195314501,0.9783538336730772
full_neighbourhood_purity_15,1206,0.9550106428351312,0.891943907146993,0.9734207297825842,0.971436738584573
full_neighbourhood_purity_20,1206,0.9539151582031106,0.8906540963480908,0.9729194075081394,0.9710245417894612
full_neighbourhood_purity_25,1206,0.9529258901700499,0.8894903006214047,0.9724377576073969,0.9706438393047087
full_neighbourhood_purity_30,1206,0.9520638750332858,0.8884774779048078,0.9719330180661588,0.9702688630582034
full_neighbourhood_purity_35,1206,0.9512768746589818,0.8875694508954195,0.971689837972457,0.9700739862404383
full_neighbourhood_purity_40,1206,0.9505582496412647,0.8867402716404604,0.9714782445069535,0.9698868675519111
full_neighbourhood_purity_45,1206,0.9498763433258965,0.8859565278912955,0.9711086255418968,0.9696073901819787
full_neighbourhood_purity_60,1206,0.9480909442759368,0.8839072777886078,0.970227709577701,0.9689098974200062
full_neighbourhood_purity_80,1206,0.9459753781005122,0.8814483320791031,0.9693654500430259,0.9683606403416891
cifar_knn_accuracy_15,1206,0.9802010474829946,0.9315392626472718,0.9837450620471118,0.9778540753644991
cifar_knn_accuracy_20,1206,0.9807008079835432,0.9323471095791546,0.9844624131289301,0.9780786939204473
cifar_knn_accuracy_25,1206,0.9811241695546983,0.9330093789268137,0.9851762137481822,0.9782869267790656
cifar_knn_accuracy_30,1206,0.9814853442332035,0.9336272809992917,0.9855991131371552,0.9780822898383663
cifar_knn_accuracy_35,1206,0.9817811274300265,0.934104879313592,0.9856860305776927,0.9780524239346994
cifar_knn_accuracy_40,1206,0.9821366570594489,0.934821352761137,0.986000139002486,0.9780648411191971
cifar_knn_accuracy_45,1206,0.982212551853652,0.9349442796086385,0.9862232704744629,0.9782266887809562
cifar_knn_accuracy_60,1206,0.9827471715992836,0.9358386932470079,0.9867147559930817,0.9783848974174538
cifar_knn_accuracy_80,1206,0.9831208588242214,0.9364186505184374,0.9871480195314501,0.9783538336730772
cifar_neighbourhood_purity_15,1206,0.9550106428351312,0.891943907146993,0.9734207297825842,0.971436738584573
cifar_neighbourhood_purity_20,1206,0.9539151582031106,0.8906540963480908,0.9729194075081394,0.9710245417894612
cifar_neighbourhood_purity_25,1206,0.9529258901700499,0.8894903006214047,0.9724377576073969,0.9706438393047087
cifar_neighbourhood_purity_30,1206,0.9520638750332858,0.8884774779048078,0.9719330180661588,0.9702688630582034
cifar_neighbourhood_purity_35,1206,0.9512768746589818,0.8875694508954195,0.971689837972457,0.9700739862404383
cifar_neighbourhood_purity_40,1206,0.9505582496412647,0.8867402716404604,0.9714782445069535,0.9698868675519111
cifar_neighbourhood_purity_45,1206,0.9498763433258965,0.8859565278912955,0.9711086255418968,0.9696073901819787
cifar_neighbourhood_purity_60,1206,0.9480909442759368,0.8839072777886078,0.970227709577701,0.9689098974200062
cifar_neighbourhood_purity_80,1206,0.9459753781005122,0.8814483320791031,0.9693654500430259,0.9683606403416891
densenet_knn_accuracy_15,603,0.9762521888859016,0.9350983651919212,0.9818503502736496,0.9811449921437195
densenet_knn_accuracy_20,603,0.9767259525330673,0.9356313687509918,0.9823258109683906,0.9809598859985006
densenet_knn_accuracy_25,603,0.9772914602928523,0.9364971618761091,0.9831356752918105,0.9809802547107866
densenet_knn_accuracy_30,603,0.9774865941491053,0.9367317811566389,0.9837537110648928,0.9809639498992765
densenet_knn_accuracy_35,603,0.9778418918187891,0.9371848389074401,0.9834932959176581,0.9808121574315903
densenet_knn_accuracy_40,603,0.9782924122276926,0.9378968610541095,0.9844172435569566,0.9806831855785897
densenet_knn_accuracy_45,603,0.9784062591412753,0.9380668689470663,0.9838641628224446,0.9807123432404
densenet_knn_accuracy_60,603,0.9792184888206454,0.9393438327653822,0.9843780479157163,0.9804636917788092
densenet_knn_accuracy_80,603,0.9795818791339543,0.9397347959384466,0.9846289573900007,0.9803159860989703
densenet_neighbourhood_purity_15,603,0.9469559972113241,0.8948122466317086,0.9678130829296868,0.9797899341883093
densenet_neighbourhood_purity_20,603,0.9455901893043511,0.893274858682713,0.967239708558697,0.9797574231142226
densenet_neighbourhood_purity_25,603,0.9444202105362385,0.8919982893747298,0.9667365282150836,0.9795217178270949
densenet_neighbourhood_purity_30,603,0.9434130053705603,0.8909059906473621,0.966339008354784,0.9794788623203443
densenet_neighbourhood_purity_35,603,0.9424811653088166,0.8899004214388508,0.9661668482665874,0.9794286179331195
densenet_neighbourhood_purity_40,603,0.9416450679693443,0.8890006300684085,0.9658801610810925,0.9794463512462578
densenet_neighbourhood_purity_45,603,0.9408492729066551,0.888147963209636,0.9655358409046992,0.9794899456410556
densenet_neighbourhood_purity_60,603,0.9387418658766723,0.8858939860777403,0.9646735626947186,0.9791980848623236
densenet_neighbourhood_purity_80,603,0.9362897449561267,0.8832387814419457,0.9634994752262874,0.9787288909522102
resnet_knn_accuracy_15,603,0.9848800114326256,0.927408709029774,0.9891472524573767,0.9647365028285018
resnet_knn_accuracy_20,603,0.9853966460010986,0.9285157890561065,0.989601305170383,0.9654787427563379
resnet_knn_accuracy_25,603,0.9856392280551177,0.9289447283424115,0.9900021575486952,0.9658101596817104
resnet_knn_accuracy_30,603,0.9861628288366107,0.9299858563914835,0.9900061992534762,0.9657073781725248
resnet_knn_accuracy_35,603,0.9864074308304452,0.9304850487491726,0.9901092884509005,0.965520489977286
resnet_knn_accuracy_40,603,0.9867062226430758,0.9312040209842476,0.9900934097505709,0.9658711179681424
resnet_knn_accuracy_45,603,0.986749942594474,0.931269576124788,0.9901997873497298,0.9660712814769605
resnet_knn_accuracy_60,603,0.9870155514205992,0.9317286783082732,0.99062280990186,0.9667045470818049
resnet_knn_accuracy_80,603,0.9874101635037277,0.9325096960799876,0.9908307992653171,0.966863383756929
resnet_neighbourhood_purity_15,603,0.9651009851158697,0.8885209832563635,0.9806497519127342,0.9550645566520987
resnet_neighbourhood_purity_20,603,0.9644360102113568,0.8875541276512059,0.9803911427203565,0.95490347917678
resnet_neighbourhood_purity_25,603,0.9637580982133398,0.8865561478668227,0.9798554522504317,0.9542672970380212
resnet_neighbourhood_purity_30,603,0.9631543652532455,0.8856685702789,0.9795074381658321,0.9539488365248912
resnet_neighbourhood_purity_35,603,0.9626166874545226,0.884905291207883,0.9792089292694878,0.9535786538866587
